model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state,PAINT JOB,DRIVE TRAIN
Model 3,2017,28221,31600,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$487 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,20395,32300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$500 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,22457,32400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$502 /mo,91301,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,12968,33100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$514 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,16241,33300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$518 /mo,91301,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,10624,33300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,18’’ Aero Wheels,$518 /mo,91301,All Black Partial Premium Interior,CA,Deep Blue,100D AWD-Long Range
Model 3,2017,28892,33800,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$527 /mo,91301,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,13623,34800,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$545 /mo,91301,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,26728,35100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$550 /mo,91301,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,43292,28400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$430 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,41503,29100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$442 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,46901,29500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$450 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,49942,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,32158,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,49711,30300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$464 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,29339,30600,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,18’’ Aero Wheels,$469 /mo,91801,All Black Partial Premium Interior,CA,Solid Black,100D AWD-Long Range
Model 3,2017,28419,31400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,18’’ Aero Wheels,$484 /mo,91801,All Black Partial Premium Interior,CA,Deep Blue,100D AWD-Long Range
Model 3,2017,29415,31500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$486 /mo,91801,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,28221,31600,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$487 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,20395,32300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$500 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,22457,32400,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,18’’ Aero Wheels,$502 /mo,91801,All Black Partial Premium Interior,CA,Midnight Silver,100D AWD-Long Range
Model 3,2017,12968,33100,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Paint,18’’ Aero Wheels,$514 /mo,91801,All Black Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,10624,33300,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,18’’ Aero Wheels,$518 /mo,91801,All Black Partial Premium Interior,CA,Deep Blue,100D AWD-Long Range
